iter	Passed	Remaining
0	1	185
1	3	158
2	4	152
3	5	137
4	7	146
5	8	140
6	10	137
7	11	130
8	13	132
9	14	127
10	15	122
11	16	118
12	17	115
13	18	111
14	19	110
15	20	108
16	21	106
17	22	104
18	24	102
19	25	101
20	27	101
21	28	100
22	29	99
23	30	96
24	31	94
25	32	92
26	33	91
27	34	89
28	36	88
29	37	87
30	38	85
31	39	83
32	40	82
33	41	80
34	42	79
35	43	77
36	44	76
37	45	74
38	46	73
39	47	71
40	49	70
41	50	69
42	51	67
43	52	66
44	53	65
45	54	63
46	55	62
47	56	60
48	57	59
49	58	58
50	59	56
51	60	55
52	61	54
53	62	53
54	63	51
55	64	50
56	65	49
57	66	48
58	67	46
59	68	45
60	69	44
61	70	43
62	71	41
63	72	40
64	73	39
65	74	38
66	75	36
67	76	35
68	77	34
69	78	33
70	79	32
71	80	31
72	81	30
73	82	28
74	83	27
75	84	26
76	85	25
77	86	24
78	87	23
79	88	22
80	89	20
81	90	19
82	91	18
83	92	17
84	93	16
85	94	15
86	95	14
87	96	13
88	97	12
89	98	10
90	99	9
91	100	8
92	101	7
93	102	6
94	103	5
95	104	4
96	105	3
97	106	2
98	107	1
99	108	0
